name,url,chemistry,chemistry html,IMA Symbol,Strunz class,crystal system,crystal class,color,cleavage,mohs,streak,gravity,luster,habit,varieties
Terlinguaite,https://en.wikipedia.org/wiki/Terlinguaite,Hg2ClO,Hg<sub>2</sub>ClO,Tlg,3.DD.20,Monoclinic,Prismatic,"Sulfur-yellow, greenish yellow, brown",Perfect on [101],2.5,"Lemon-yellow, turning olive-green",9.22,Brilliant adamantine,"Aggregates of equant to elongated crystals, powdery, massive",
Teruggite,https://en.wikipedia.org/wiki/Teruggite,Ca4MgAs2B12O22(OH)12·12H2O,Ca<sub>4</sub>MgAs<sub>2</sub>B<sub>12</sub>O<sub>22</sub>(OH)<sub>12</sub>·12H<sub>2</sub>O,Tgg,6.FA.25,Monoclinic,Prismatic,,,,,,,,
Tetradymite,https://en.wikipedia.org/wiki/Tetradymite,Bi2Te2S,Bi<sub>2</sub>Te<sub>2</sub>S,Ttd,2.DC.05c,Trigonal,Hexagonal scalenohedral,Steel-gray with dull to iridescent tarnish; white in polished section,Perfect on {0001},1.5 – 2,Steel-gray,7.2 – 7.9,"Metallic, splendent on fresh surfaces, dull if tarnished","Pyramidal prisms, commonly granular, massive to foliated, also bladed",
Tetrahedrite,https://en.wikipedia.org/wiki/Tetrahedrite,"(Cu,Fe)12Sb4S13","(Cu,Fe)<span>13</sub></span>",,2.GB.05,Cubic,Hextetrahedral,Steel gray to iron-gray,None,3.5 – 4,"Black, brown to dark red",4.97,"Metallic, commonly splendent","Groups of tetrahedral crystals; massive, coarse to fine compact granular",
Tetrataenite,https://en.wikipedia.org/wiki/Tetrataenite,FeNi,FeNi,Ttae,1.AE.10,Tetragonal,Domatic,"gray white, silver white",none,3.5,gray,,metallic,Granular – Common texture observed in granite and other igneous rock,
Thaumasite,https://en.wikipedia.org/wiki/Thaumasite,Ca3Si(OH)6(CO3)(SO4)·12H2O CaSi(OH)6·CaCO3·CaSO4·12H2O CaSiO3·CaCO3·CaSO4·15H2O,"Ca<sub>3</sub>Si(OH)<sub>6</sub>(CO<sub>3</sub>)(SO<sub>4</sub>)·12H<sub>2</sub>O<br/>
<p>CaSi(OH)<sub>6</sub>·CaCO<sub>3</sub>·CaSO<sub>4</sub>·12H<sub>2</sub>O<br/>
</p>
CaSiO<sub>3</sub>·CaCO<sub>3</sub>·CaSO<sub>4</sub>·15H<sub>2</sub>O",Tma,7.DG.15,Hexagonal,Pyramidal,"Colorless, white, pale yellow",Indistinct,3.5,White,1877,Vitreous to silky,"Prismatic, fibrous, massive, radial",
Thénardite,https://en.wikipedia.org/wiki/Thenardite,Na2SO4,Na<sub>2</sub>SO<sub>4</sub>,Thn,7.AC.25,Orthorhombic,Dipyramidal,"White, grayish white, yellowish white, reddish white, brownish white","{010} perfect, {101} fair, {100} incomplete",2.5,White,"2.67–2.7, average = 2.68",Vitreous to resinous,Forms crust-like prismatic aggregates on matrix,
Thermonatrite,https://en.wikipedia.org/wiki/Thermonatrite,Na2CO3·H2O,Na<sub>2</sub>CO<sub>3</sub>·H<sub>2</sub>O,Tnat,5.CB.05,Orthorhombic,Pyramidal,,Poor to indistinct on {100},1 - 1.5,,2.255 (measured on synthetic crystal),,Acicular crystals rare; typically occurs as powdery crusts,
Thiospinel group,https://en.wikipedia.org/wiki/Thiospinel_group,,,,,,,,,,,,,,
Thomasclarkite-(Y),https://en.wikipedia.org/wiki/Thomasclarkite-(Y),"(Na, Ce)(Y, REE)(HCO3)(OH)3·4(H2O)","(Na,Ce)(Y,REE)(HCO3)(OH)3·4(H<sub>2</sub>O)",Tcl-Y,,Monoclinic,Sphenoidal,"White, yellow","[010] perfect, [101] parting",2–3,white,2.30,Vitreous (Glassy),"Blocky crystals, pseudo-tetragonal",
Thomsenolite,https://en.wikipedia.org/wiki/Thomsenolite,NaCaAlF6·H2O,NaCaAlF<sub>6</sub>·H<sub>2</sub>O,Tse,3.CB.40,Monoclinic,Prismatic,"Colourless, white, pale lilac; brownish or reddish tinted due to staining; colourless in transmitted light.",PerfectOn {001}; {110} distinct.,2,White,,,,
Thomsonite,https://en.wikipedia.org/wiki/Thomsonite,NaCa2Al5Si5O20·6H2O,NaCa<sub>2</sub>Al<sub>5</sub>Si<sub>5</sub>O<sub>20</sub>·6H<sub>2</sub>O,Thm,9.GA.10,Orthorhombic,Dipyramidal,"colorless, white, beige, and pink",perfect on {010}; good on {100},5-5.5,white,2.23 - 2.29,"vitreous, pearly",,
Thorianite,https://en.wikipedia.org/wiki/Thorianite,"Thorium oxide, ThO2","Thoriumoxide,ThO<sub>2</sub>",Tho,4.DL.05,Isometric,Hexoctahedral,"Dark gray, brown-black",Poor/Indistinct,6.5 – 7,"Grey, grey green to black",9.7,"Resinous, sub-metallic","Cubic crystals, usually rounded to some degree in detrital deposits",
Thorite,https://en.wikipedia.org/wiki/Thorite,"(Th,U)SiO4","(Th,U)SiO<sub>4</sub>",Thr,9.AD.30,Tetragonal,Ditetragonal dipyramidal,"Yellow-orange, brownish yellow, brownish black, black, green",Distinct on {110},4.5 – 5,Light orange to light brown sometimes even an alien magenta,6.63 – 7.20,Vitreous to resinous,"In square prisms, or pseudo-octahedral crystals; also massive",
Thortveitite,https://en.wikipedia.org/wiki/Thortveitite,"(Sc,Y)2Si2O7","(Sc,Y)<sub>2</sub>Si<sub>2</sub>O<sub>7</sub>",Tvt,9.BC.05,Monoclinic,Prismatic,,,5-6,gray,3.3-3.8,vitreous,,
Tiemannite,https://en.wikipedia.org/wiki/Tiemannite,HgSe,HgSe,Tmn,2.CB.05a,Isometric,Hextetrahedral,Steel-gray to black,none,2.5,grayish black,8.19 - 8.47,Metallic,Massive and as euhedral crystals,
Tienshanite,https://en.wikipedia.org/wiki/Tienshanite,"KNa3(Na,K,[])6(Ca,Y,RE)2Ba6(Mn2+,Fe2+,Zn,Ti)6(Ti,Nb)6Si36B12O114[O5.5(OH,F)3.5]F2",KNa<sub>2</sub>,Tsh,9.CL.05,Hexagonal,Dipyramidal,olive-green,,6 - 6.5,,,vitreous,,
Tin,https://en.wikipedia.org/wiki/Tin,,,,,,,,,1.5 ,,,,,
Tinaksite,https://en.wikipedia.org/wiki/Tinaksite,"K2Na(Ca,Mn2+)2TiO[Si7O18(OH)]",K<sub>18</sub>(OH)],Tnk,9.DG.75,Triclinic,Pinacoidal,"Pink, pale yellow, light brown","Perfect in one direction, indistinct in one direction",6,White,2.82,Vitreous to glassy,"Fibrous, crystalline or prismatic, crystalline, or radial, crystalline",
Tincalconite,https://en.wikipedia.org/wiki/Tincalconite,Na2[B4O5(OH)4]·3H2O,Na<sub>2</sub>[B<sub>4</sub>O<sub>5</sub>(OH)<sub>4</sub>]·3H<sub>2</sub>O,Tnc,6.DA.15,Trigonal,Trapezohedral,,,,,,,,
Titanite,https://en.wikipedia.org/wiki/Titanite,CaTiSiO5,CaTiSiO<sub>5</sub>,Ttn,9.AG.15,Monoclinic,Prismatic,,"Distinct on [110], parting on {221}",5 to 5.5,Reddish white,3.48 to 3.60,Subadamantine tending to slightly resinous,"Flattened wedge-shaped crystals, also massive",
Titanium,https://en.wikipedia.org/wiki/Titanium,,,,,,,,,6.0 ,,,,,
Titanowodginite,https://en.wikipedia.org/wiki/Titanowodginite,MnTiTa2O8,MnTiTa<sub>2</sub>O<sub>8</sub>,Twdg,4.DB.40,Monoclinic,Prismatic,dark brown to black,,,dark brown,,vitreous,,
Tobermorite,https://en.wikipedia.org/wiki/Tobermorite,"Ca5Si6O16(OH)2·4H2O, or;  Ca5Si6(O,OH)18·5H2O","Ca<sub>5</sub>Si<sub>6</sub>O<sub>16</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,or;<br/>Ca<sub>5</sub>Si<sub>6</sub>(O,OH)<sub>18</sub>·5H<sub>2</sub>O",Tbm,9.DG.10,Orthorhombic,Disphenoidal,"Pale pinkish white, white, brown","{001} Perfect, {100} Imperfect",2.5,White,2.423 - 2.458,"Vitreous, silky in fibrous aggregates","As minute laths; fibrous bundles, rosettes or sheaves, radiating or plumose, fine granular, massive.",
Todorokite,https://en.wikipedia.org/wiki/Todorokite,"(Na,Ca,K,Ba,Sr)1-x(Mn,Mg,Al)6O12·3-4H2O","(Na,Ca,K,Ba,Sr)<span>2</sub></span>O",Tdr,4.DK.10,Monoclinic,Prismatic,"Dark brown or brownish black, brown in transmitted light",Perfect on {100} and {010},1.5,Black or dark brown,3.5 to 3.8,"Metallic to dull, silky in aggregates",Aggregates of minute lathlike crystals,
Tokyoite,https://en.wikipedia.org/wiki/Tokyoite,"Ba2(Mn3+,Fe3+)OH(VO4)2","Ba<sub>2</sub>(Mn<sup>3+</sup>,Fe<sup>3+</sup>)OH(VO<sub>4</sub>)<sub>2</sub>",Tky,8.BG.05,Monoclinic,Prismatic,Reddish black,None observed,4.5 - 5,Deep brownish red,4.62 calculated,Vitreous,"Occurs as splotchy, anhedral crystals forming inclusions",
Tongbaite,https://en.wikipedia.org/wiki/Tongbaite,Cr3C2,Cr<sub>3</sub>C<sub>2</sub>,Tgb,1.BA.15,Orthorhombic,Dipyramidal,Pale brownish yellow; pale violet in reflected light,,8.5,,6.64 calculated,Metallic,"Prismatic crystals, pseudohexagonal",
Topaz,https://en.wikipedia.org/wiki/Topaz,"Al2SiO4(F,OH)2","Al<sub>2</sub>SiO<sub>4</sub>(F,OH)<sub>2</sub>",Tpz,9.AF.35,Orthorhombic,Dipyramidal,"Colorless (if there are no impurities), white, blue, brown, orange, gray, yellow, yellowish brown, green, pink, reddish pink or even red",[001] Perfect,8,White,3.49–3.57,Vitreous,Prismatic crystal,
Torbernite,https://en.wikipedia.org/wiki/Torbernite,Cu(UO2)2(PO4)2 · 8-12 H2O,Cu(UO<sub>2</sub>,Tor(hydrated copper uranyl phosphate),8.EB.05,Tetragonal,Ditetragonal dipyramidal,Emerald green to apple green,[001] Perfect; [100] Distinct,2 - 2.5,Pale green,3.2,Vitreous; Pearly,Tabular crystals; Foliated to earthy masses and encrustations,
Tourmaline,https://en.wikipedia.org/wiki/Tourmaline,"(Ca,K,Na, ▢)(Al,Fe,Li,Mg,Mn)3(Al,Cr,Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4","(Ca,K,Na,▢)(Al,Fe,Li,Mg,Mn)<sub>4</sub>",Tur,,Trigonal,Ditrigonal pyramidal,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in between; can be bi-colored, or even tri-colored; rarely can be neon green or electric blue",Indistinct,7.0–7.5,White,3.06+0.20−0.06,"Vitreous, sometimes resinous","Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).",
Tranquillityite,https://en.wikipedia.org/wiki/Tranquillityite,(Fe2+)8Ti3Zr2 Si3O24,(Fe<sup>2+</sup>)<sub>8</sub>Ti<sub>3</sub>Zr<sub>2</sub>Si<sub>3</sub>O<sub>24</sub>,Trq,9.AG.90,Hexagonal,Unknown space group,"Gray, dark red-brown in transmitted light",,,,,Submetalic,Lath shaped grains generally found as inclusions in other minerals or interstitial (<0.1% in weight),
Tremolite,https://en.wikipedia.org/wiki/Tremolite,Ca2(Mg5.0-4.5Fe2+0.0-0.5)Si8O22(OH)2,Ca<sub>2</sub>(Mg<sub>5.0-4.5</sub>Fe<sup>2+</sup><sub>0.0-0.5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,Tr,9.DE.10,Monoclinic,Prismatic,"White, gray, lavender to pink, light green, light yellow",Perfect on {110} at 56° and 124°; partings on {010} and {100},5 – 6,White,2.99 – 3.03,Vitreous and silky,"Elongated prismatic, or flattened crystals; also as fibrous, granular or columnar aggregates",
Trevorite,https://en.wikipedia.org/wiki/Trevorite,NiFe3+2O4,NiFe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Trv,4.BB.05,Cubic,Hexoctahedral,"Black, greenish hue",None,5,Brown,5164,Metallic to sub-metallic,"Granular to massive, rare as minute octahedra",
Tridymite,https://en.wikipedia.org/wiki/Tridymite,SiO2,SiO<sub>2</sub>,Trd,4.DA.10,Orthorhombic,Disphenoidal,"Colorless, white","{0001} indistinct, {1010} imperfect",7,white,2.25–2.28,Vitreous,Platy – sheet forms,
Triphylite,https://en.wikipedia.org/wiki/Triphylite,LiFePO4,LiFePO<sub>4</sub>,Trp,8.AB.10,Orthorhombic,Dipyramidal,"Green–blue gray, brown–black","{100} perfect, {010} imperfect, {011} poor",4–5,White–grayish white,,Vitreous–subresinous,"Massive, granular, prismatic",
Triplite,https://en.wikipedia.org/wiki/Triplite,"(Mn,Fe)2(PO4)(F,OH)","(Mn,Fe)<sub>2</sub>(PO<sub>4</sub>)(F,OH)",Trl,8.BB.10,Monoclinic,Prismatic,"Chestnut to reddish brown, flesh-red, salmon-pink","Good on {001}, fair on {010}, poor on {100}",5 to 5.5,White to brown,3.5 - 3.9,Vitreous to resinous,"Prismatic, massive to nodular",
Triploidite,https://en.wikipedia.org/wiki/Triploidite,"(Mn,Fe)2PO4OH","(Mn,Fe)<sub>4</sub>OH",Tpd,8.BB.15,Monoclinic,Prismatic,"Red-brown, light pink, yellow-brown; light pink to light brown in transmitted light.","On {010}, good; on {120}, fair; on {110}, very poor.",4.5 - 5,"White, off-white.",3.70 measured,"Adamantine, vitreous, greasy",Elongated and striated prismatic crystals; fibrous: columnar to spherulitic,
Tripuhyite,https://en.wikipedia.org/wiki/Tripuhyite,FeSbO4,FeSbO<sub>4</sub>,Tpy,4.DB.05,Tetragonal,Ditetragonal dipyramidal,"Yellowish brown, lemon-yellow, brown-black",,6 - 7,Canary-yellow to dark brown with a greenish tinge,5.82,Dull to earthy,Fibrous to fine-grained aggregates,
Troilite,https://en.wikipedia.org/wiki/Troilite,FeS,FeS,Tro,2.CC.10,Hexagonal,Ditrigonal dipyramidal,Pale gray brown,None,3.5 - 4.0,Gray black,4.67–4.79,Metallic,"Massive, granular; nodular; platey to tabular",
Trona,https://en.wikipedia.org/wiki/Trona,Na2CO3•2NaHCO3.3H2O,Na<sub>2</sub>CO<sub>3</sub>•2NaHCO<sub>3</sub>.3H<sub>2</sub>O,Tn,5.CB.15,Monoclinic,Prismatic,"Colorless (in transmitted light) or white, grey-white, also grey to yellowish grey, light yellow","[100] perfect, [111] and [001] indistinct",2.5,White,2.11–2.17,Vitreous,"Columnar, fibrous and massive.",
Tschermakite,https://en.wikipedia.org/wiki/Tschermakite,☐Ca2(Mg3Al2)(Si6Al2)O22(OH)2,☐Ca<sub>2</sub>(Mg<sub>3</sub>Al<sub>2</sub>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>,Tsr,9.DE.10,Monoclinic,Prismatic,"Medium to dark green to green-black to black, brown (rare)",Perfect on {110} Parting	on {100}{001},5–6,Pale grey-green,3.15,Vitreous,As prismatic crystals or as reaction rims on other minerals,
Tschermigite,https://en.wikipedia.org/wiki/Tschermigite,NH4Al(SO4)2·12(H2O,NH<sub>4</sub>Al(SO<sub>4</sub>)<sub>2</sub>·12(H<sub>2</sub>O,Tmi),7.CC.20,Isometric,Diploidal,"Colorless, white; colorless in transmitted light",Perfect on {100},1.5 - 2,White,1645,"Vitreous, silky",Octahedral crystals; fibrous columnar; powdery,
Tsumcorite,https://en.wikipedia.org/wiki/Tsumcorite,PbZnFe2+(AsO4)2.H2O,PbZnFe<sup>2+</sup>(AsO<sub>4</sub>)<sub>2</sub>.H<sub>2</sub>O,Tmc,8.CG.15,Monoclinic,Prismatic,"Yellow-brown, red-brown, orange",Good on {001},4.5,Yellow,5.2,Vitreous,"Radiating, fibrous crusts",
Tsumebite,https://en.wikipedia.org/wiki/Tsumebite,Pb2Cu(PO4)(SO4)(OH),Pb<sub>4</sub>)(OH),Tsu,8.BG.05,Monoclinic,Prismatic,"Emerald-green, green in transmitted light",None,3.5,Green,6.13,Adamantine to vitreous,Crusts of intergrown crystals on matrix,
Tugtupite,https://en.wikipedia.org/wiki/Tugtupite,Na4(AlBeSi4O12)Cl,Na<sub>4</sub>(AlBeSi<sub>4</sub>O<sub>12</sub>)Cl,Ttp,9.FB.10,Tetragonal,Disphenoidal,"White, pink, crimson, blue, green",,4,,2.36,Vitreous,,
Tungsten,https://en.wikipedia.org/wiki/Tungsten,,,,,,,,,7.5 ,,,,,
Tungstite,https://en.wikipedia.org/wiki/Tungstite,WO3·H2O,WO<sub>3</sub>·H<sub>2</sub>O,Tgs,4.FJ.10,Orthorhombic,Dipyramidal,"Yellow, yellowish green/orange","Perfect along [001], imperfect along [110]",2.5,Yellow,5517,"Resinous, pearly","Earthy, pulverulent",
Tuperssuatsiaite,https://en.wikipedia.org/wiki/Tuperssuatsiaite,NaFe3+3Si8O20(OH)2·H2O,NaFe<sup>3+</sup><sub>2</sub>·H<sub>2</sub>O,Tup,9.EE.20,Monoclinic,Prismatic,Dark to light red-brown,Good on {100},,Brownish yellow,2465,Vitreous,"Fan-shaped aggregates, rosettes or fibers",
Turquoise,https://en.wikipedia.org/wiki/Turquoise,CuAl6(PO4)4(OH)8·4H2O,CuAl<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O,Tqu,8.DD.15,Triclinic,Pinacoidal,,"Perfect on {001}, good on {010}, but cleavage rarely seen",5–6,Bluish white,2.6–2.9,Waxy to subvitreous,"Massive, nodular",
Tusionite,https://en.wikipedia.org/wiki/Tusionite,MnSn(BO3)2,MnSn(BO<sub>3</sub>)<sub>2</sub>,Tsn,6.AA.15,Trigonal,Rhombohedral,"Colorless, light yellow to yellow brown",[001] Perfect,5-6,white,,Vitreous,Thin platy crystals in rosettes,
Tyrolite,https://en.wikipedia.org/wiki/Tyrolite,CaCu5(AsO4)2CO3(OH)4·6H2O,CaCu<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>CO<sub>3</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Tyl,8.DM.10,Monoclinic,Prismatic,,,,,,,,
Tyrrellite,https://en.wikipedia.org/wiki/Tyrrellite,"Cu(Co,Ni)2Se4","Cu(Co,Ni)<sub>4</sub>",Ty,2.DA.05,Isometric,Hexoctahedral,light bronze,{001} Distinct,3.5,black,6.6 ± 0.2,metallic,granular,
Tyuyamunite,https://en.wikipedia.org/wiki/Tyuyamunite,Ca(UO2)2V2O8·(5-8)H2O,Ca(UO<sub>2</sub>)<sub>2</sub>V<sub>2</sub>O<sub>8</sub>·(5-8)H<sub>2</sub>O,Tyu,4.HB.25,Orthorhombic,Dipyramidal,,"Perfect on {001}, micaceous; distinct on {100} & {010}",1.5 - 2,Yellow,3.57 - 4.35,,"Platy crystals often in radiating sprays, coatings, massive",
Actinolite,https://en.wikipedia.org/wiki/Uralite,Ca2(Mg4.5-2.5Fe2+0.5-2.5) Si8O22(OH)2,Ca<sub>2</sub>(Mg<sub>4.5-2.5</sub>Fe<sup>2+</sup><sub>0.5-2.5</sub>)<br/>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,Act,9.DE.10,Monoclinic,Prismatic,"pale to dark green, yellowish green and black. White or grey when in asbestos",perfect along {110}.,5–6,white,"3.00 (+0.10, -0.05)",vitreous to dull,"bladed, fibrous, radial",
Uchucchacuaite,https://en.wikipedia.org/wiki/Uchucchacuaite,AgMnPb3Sb5S12,AgMnPb<sub>3</sub>Sb<sub>5</sub>S<sub>12</sub>,Uch,2.JB.40a,Orthorhombic,Dipyramidal,grey,,,,,metallic,,
Uklonskovite,https://en.wikipedia.org/wiki/Uklonskovite,NaMgSO4(OH)·2H2O,NaMgSO<sub>4</sub>(OH)·2H<sub>2</sub>O,Ukl,7.DF.05,Monoclinic,Prismatic,colorless,,,,,vitreous,,
Ulexite,https://en.wikipedia.org/wiki/Ulexite,NaCaB5O6(OH)6·5H2O,NaCaB<sub>5</sub>O<sub>6</sub>(OH)<sub>6</sub>·5H<sub>2</sub>O,Ulx,6.EA.25,Triclinic,Pinacoidal,Colorless to white,Perfect on {010} good on {110} poor on {110},2.5,White,1.95 – 1.96,Vitreous; silky or satiny in fibrous aggregates,Acicular to fibrous,
Ullmannite,https://en.wikipedia.org/wiki/Ullmannite,NiSbS,NiSbS,Ull,2.EB.25,Cubic,Tetartoidal,Steel-gray to tin white,Perfect on {001},5-5.5,,6.65 - 6.85,metallic,,
Ulrichite,https://en.wikipedia.org/wiki/Ulrichite,CaCu(UO2)[PO4]2·4H2O,CaCu(UO<sub>2</sub>)[PO<sub>4</sub>]<sub>2</sub>·4H<sub>2</sub>O,Ulr,8.EA.15,Monoclinic,Prismatic,,,,,,,,
Ulvöspinel,https://en.wikipedia.org/wiki/Ulv%C3%B6spinel,TiFe2+2O4,TiFe<sup>2+</sup><sub>2</sub>O<sub>4</sub>,Uspl,4.BB.05,Cubic,Hexoctahedral,"Iron-black, brown in reflected light",,5.5 - 6.0,,4.78,Metallic,Commonly as an exsolution in magnetite,
Umangite,https://en.wikipedia.org/wiki/Umangite,Cu3Se2,Cu<sub>3</sub>Se<sub>2</sub>,Um,2.BA.15c,Tetragonal,Scalenohedral,"Red, bluish red-black",Distinct on [010] and [001],3,Black,5.62 - 6.78,Metallic,Massive granular,
Umbite,https://en.wikipedia.org/wiki/Umbite,K2ZrSi3O9·H2O,K<sub>9</sub>·H<sub>2</sub>O,Umb,9.DG.25,Orthorhombic,Disphenoidal,"colorless, light yellow",,,,,vitreous,,
Umohoite,https://en.wikipedia.org/wiki/Umohoite,(UO2)MoO4·2H2O,(UO<sub>2</sub>)MoO<sub>4</sub>·2H<sub>2</sub>O,Umo,,Triclinic,,"Black, blue-black, dark green, orange-red ",Perfect on {001},2,Blue gray,,Vitreous,,
Upalite,https://en.wikipedia.org/wiki/Upalite,Al(UO2)3(PO4)2O(OH)·7H2O,Al(UO<sub>2</sub>)<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>O(OH)·7H<sub>2</sub>O,Upa,8.EC.05,Monoclinic,Prismatic,"amber-yellow, yellow-brown",,,,,,,
Uraninite,https://en.wikipedia.org/wiki/Uraninite,Uranium dioxide or uranium(IV) oxide (UO2),Uraniumdioxideoruranium(IV)oxide(UO<sub>2</sub>),Urn,4.DL.05,Isometric,Hexoctahedral,"Steel-black to velvet-black, brownish black, pale gray to pale green; in transmitted light, pale green, pale yellow to deep brown and green-gray (thin fragments)",Indistinct,5–6,"Brownish black, gray, olive-green",10.63–10.95; decreases on oxidation,"Submetallic, greasy, dull","Massive, botryoidal, granular. Octahedral crystals uncommon.",Pitchblende (Massive)
Uranocircite,https://en.wikipedia.org/wiki/Uranocircite,Ba(UO2)2(PO4)2·10H2O,Ba(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·10H<sub>2</sub>O,Urc-II,8.EB.05,Tetragonal,Ditetragonal dipyramidal,,,,,,,,
Uranophane,https://en.wikipedia.org/wiki/Uranophane,Ca(UO2)2[HSiO4]2·5H2O,Ca(UO<sub>2</sub>)<sub>2</sub>[HSiO<sub>4</sub>]<sub>2</sub>·5H<sub>2</sub>O,Urp-α,9.AK.15,Monoclinic,Sphenoidal,"Light yellow, lemon-yellow, honey-yellow, straw-yellow, green-yellow",{100} Perfect,2.5,Yellowish white,3.81 - 3.90,Vitreous to pearly; waxy or dull when massive,"Crystals occur as stellate needle aggregates;  as fibrous crusts, and massive",
Uranopilite,https://en.wikipedia.org/wiki/Uranopilite,(UO2)6SO4(OH)6O2·14H2O,(UO<sub>2</sub>)<sub>6</sub>SO<sub>4</sub>(OH)<sub>6</sub>O<sub>2</sub>·14H<sub>2</sub>O,Up,7.EA.05,Triclinic,Pinacoidal,,,,,,,,
Urea,https://en.wikipedia.org/wiki/Urea,,,,,,,,,,,,,,
Uricite,https://en.wikipedia.org/wiki/Uricite,C5H4N4O3,C<sub>5</sub>H<sub>4</sub>N<sub>4</sub>O<sub>3</sub>,Uri,10.CA.40,Monoclinic,Prismatic,"Yellowish white, colorless, light brown",,1-2,White,1.85 (calculated),,,
Urusovite,https://en.wikipedia.org/wiki/Urusovite,CuAlAsO5,CuAlAsO<sub>5</sub>,Uusv,8.BB.60,Monoclinic,Prismatic,Light green,Perfect,4,White,,Vitreous (Glassy),,
Ussingite,https://en.wikipedia.org/wiki/Ussingite,Na2AlSi3O8OH,Na<sub>2</sub>AlSi<sub>3</sub>O<sub>8</sub>OH,Usg,9.EH.20,Triclinic,Pinacoidal,"pale to medium violet, reddish violet; sometimes barely tinted purple",,6-7,white,,sub-vitreous,,
Utahite,https://en.wikipedia.org/wiki/Utahite,Cu5Zn3(Te6+O4)4(OH)8•7H2O,Cu<sub>5</sub>Zn<sub>3</sub>(Te<sup>6+</sup>O<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>•7H<sub>2</sub>O,Uta,7.DE.25,Triclinic,Unknown space group,"Pale blue, greenish blue",none,4-5,Pale blue,5.33,Vitreous to pearly,Prismatic thin tabular to bladed crystals; as sheaves and bow tielike clusters,
Uvarovite,https://en.wikipedia.org/wiki/Uvarovite,Ca3Cr2Si3O12,Ca<sub>3</sub>Cr<sub>2</sub>Si<sub>3</sub>O<sub>12</sub>,Uv,9.AD.25,Cubic,Hexoctahedral,"Green, emerald-green, green-black",,6.5–7.5,White,3.77 - 3.81,Vitreous,"Euhedral crystals, granular, massive",
Uytenbogaardtite,https://en.wikipedia.org/wiki/Uytenbogaardtite,Ag3AuS2,Ag<sub>3</sub>AuS<sub>2</sub>,Uyt,2.BA.40b,Trigonal,Ditrigonal pyramidal,Greyish white,,2,,8405,Metallic,Microscopic crystals,
Vaesite,https://en.wikipedia.org/wiki/Vaesite,NiS2,NiS<sub>2</sub>,Va,,Isometric,,"Black, silver-gray",Distinct/Good {001},"4,5 - 5,5",Black,4.45,Metallic,,
Valentinite,https://en.wikipedia.org/wiki/Valentinite,Sb2O3,Sb<sub>2</sub>O<sub>3</sub>,Vln,4.CB.55,Orthorhombic,Dipyramidal,"Colorless, snow-white, pale yellow, pink, gray to brownish","{110}, perfect; {010}, imperfect",2.5–3,White,5.76,"Adamantine, pearly on cleavages","Prismatic crystals, sometimes flattened, fan-shaped or stellate aggregates of crystals; lamellar, columnar, granular, massive.",
Valleriite,https://en.wikipedia.org/wiki/Valleriite,"(Fe2+,Cu)4(Mg,Al)3S4(OH,O)6","(Fe<sup>2+</sup>,Cu)<sub>6</sub>",,2.FD.30,Trigonal,Hexagonal scalenohedral,"Bronze-yellow, gray",Excellent on {0001},1 - 1.5,Black,3.14 (measured),Metallic,"Massive, nodular, encrustations, thin splintery",
Vanadinite,https://en.wikipedia.org/wiki/Vanadinite,Pb5(VO4)3Cl,Pb<sub>5</sub>(VO<sub>4</sub>)<sub>3</sub>Cl,Vna,8.BN.05,Hexagonal,Dipyramidal,,None,3–4,brownish yellow,6.8–7.1 (measured) 6.95 (calculated),,"Prismatic or nodular; may be acicular, hairlike, fibrous; rarely rounded, globular",
Vanadiocarpholite,https://en.wikipedia.org/wiki/Vanadiocarpholite,Mn+2V+3AlSi2O6(OH)4,Mn<sup>+2</sup>V<sup>+3</sup>AlSi<sub>2</sub>O<sub>6</sub>(OH)<sub>4</sub>,Vcar,9.DB.05,Orthorhombic,Dipyramidal,"Pale-straw yellow, honey-yellow to brown",Perfect on {010},,,,"Vitreous, silky","Prismatic to acicular crystal clusters, vein fillings",
Vanadium,https://en.wikipedia.org/wiki/Vanadium,,,,,,,,,6.7 ,,,,,
Vandenbrandeite,https://en.wikipedia.org/wiki/Vandenbrandeite,Cu(UO2)(OH)4,Cu(UO<sub>2</sub>)(OH)<sub>4</sub>,Vbd,4.GB.45,Triclinic,Triclinic-Pinacoidal,Blackish green to dark green with bluish green tint,"Perfect on {001}, {110} Distinct and also indisctinct in the [001] zone",4,Green,5.03,"Vitreous, sub-vitreous, greasy",,
